trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
38,boble_compressed.wav,neutral,boble,banner,babble_2.wav,pervers_reversed.wav,kæle_reversed.wav,,,,,0,67,67,67,,,left,0.8056216000004497,left,1,boble,banner,1738,001,2025-11-27_14-18-26,
49,offer_compressed.wav,negative,offer,hårnål,babble_77.wav,jubel_reversed.wav,morder_reversed.wav,,,,,0,68,68,68,,,right,2.583076600001732,right,1,hårnål,offer,1738,001,2025-11-27_14-18-26,
47,udskud_compressed.wav,negative,udskud,himmel,babble_59.wav,ørken_reversed.wav,nonsens_reversed.wav,,,,,0,69,69,69,,,left,0.47923120000086783,left,1,udskud,himmel,1738,001,2025-11-27_14-18-26,
15,fjollet_compressed.wav,positive,fjollet,maling,babble_79.wav,leder_reversed.wav,museum_reversed.wav,,,,,0,70,70,70,,,left,0.40175640000052226,left,1,fjollet,maling,1738,001,2025-11-27_14-18-26,
33,frelser_compressed.wav,positive,frelser,avis,babble_22.wav,traume_reversed.wav,motor_reversed.wav,,,,,0,71,71,71,,,left,0.39783170000009704,left,1,frelser,avis,1738,001,2025-11-27_14-18-26,
25,museum_compressed.wav,neutral,museum,natur,babble_13.wav,rabies_reversed.wav,poesi_reversed.wav,,,,,0,72,72,72,,,left,0.36384650000036345,left,1,museum,natur,1738,001,2025-11-27_14-18-26,
1,krise_compressed.wav,negative,krise,sikker,babble_72.wav,skønhed_reversed.wav,ankel_reversed.wav,,,,,0,73,73,73,,,left,0.715806899999734,left,1,krise,sikker,1738,001,2025-11-27_14-18-26,
84,albue_compressed.wav,neutral,albue,traume,babble_24.wav,måned_reversed.wav,gratis_reversed.wav,,,,,0,74,74,74,,,right,0.92024709999896,right,1,traume,albue,1738,001,2025-11-27_14-18-26,
58,slave_compressed.wav,negative,slave,bryllup,babble_16.wav,taxa_reversed.wav,himlen_reversed.wav,,,,,0,75,75,75,,,right,1.0116398000009212,right,1,bryllup,slave,1738,001,2025-11-27_14-18-26,
35,sandhed_compressed.wav,positive,sandhed,bryllup,babble_84.wav,hånlig_reversed.wav,trofæ_reversed.wav,,,,,0,76,76,76,,,right,0.610338700000284,right,1,bryllup,sandhed,1738,001,2025-11-27_14-18-26,
53,glæde_compressed.wav,positive,glæde,syndig,babble_49.wav,ketchup_reversed.wav,cirkel_reversed.wav,,,,,0,77,77,77,,,left,0.4805348000008962,left,1,glæde,syndig,1738,001,2025-11-27_14-18-26,
32,borddug_compressed.wav,neutral,borddug,genstand,babble_47.wav,kedel_reversed.wav,grusom_reversed.wav,,,,,0,78,78,78,,,right,1.0408467000015662,right,1,genstand,borddug,1738,001,2025-11-27_14-18-26,
7,ærlig_compressed.wav,positive,ærlig,motor,babble_68.wav,slave_reversed.wav,metal_reversed.wav,,,,,0,79,79,79,,,left,0.5136925000006158,left,1,ærlig,motor,1738,001,2025-11-27_14-18-26,
31,ferie_compressed.wav,positive,ferie,banner,babble_59.wav,vindue_reversed.wav,sikker_reversed.wav,,,,,0,80,80,80,,,left,0.4955601999990904,left,1,ferie,banner,1738,001,2025-11-27_14-18-26,
90,knude_compressed.wav,neutral,knude,plakat,babble_1.wav,ankel_reversed.wav,lækker_reversed.wav,,,,,0,81,81,81,,,right,0.4438564000010956,right,1,plakat,knude,1738,001,2025-11-27_14-18-26,
88,skønhed_compressed.wav,positive,skønhed,borddug,babble_40.wav,kage_reversed.wav,violin_reversed.wav,,,,,0,82,82,82,,,left,0.3550483999988501,left,1,skønhed,borddug,1738,001,2025-11-27_14-18-26,
78,krise_compressed.wav,negative,krise,albue,babble_8.wav,himmel_reversed.wav,pervers_reversed.wav,,,,,0,83,83,83,,,left,0.6728695000001608,left,1,krise,albue,1738,001,2025-11-27_14-18-26,
72,sæde_compressed.wav,neutral,sæde,kujon,babble_82.wav,blomstre_reversed.wav,rigdom_reversed.wav,,,,,0,84,84,84,,,left,1.4196355999993102,left,1,sæde,kujon,1738,001,2025-11-27_14-18-26,
