trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
76,passion_compressed.wav,positive,passion,grimme,babble_83.wav,nonne_reversed.wav,boble_reversed.wav,,,,,0,63,63,63,left,0.6956980228424072,left,1,passion,grimme,5567,001,2025-11-28_14-28-04,
44,oprør_compressed.wav,negative,oprør,jubel,babble_64.wav,mester_reversed.wav,heldig_reversed.wav,,,,,0,64,64,64,right,4.149467945098877,right,1,jubel,oprør,5567,001,2025-11-28_14-28-04,
49,borddug_compressed.wav,neutral,borddug,luksus,babble_48.wav,himmel_reversed.wav,kugle_reversed.wav,,,,,0,65,65,65,left,2.5800559520721436,left,1,borddug,luksus,5567,001,2025-11-28_14-28-04,
36,bombe_compressed.wav,negative,bombe,flirte,babble_20.wav,grimme_reversed.wav,jubel_reversed.wav,,,,,0,66,66,66,right,0.7983429431915283,right,1,flirte,bombe,5567,001,2025-11-28_14-28-04,
58,kvæles_compressed.wav,negative,kvæles,tumor,babble_74.wav,ønske_reversed.wav,ørken_reversed.wav,,,,,0,67,67,67,right,1.258908987045288,right,1,tumor,kvæles,5567,001,2025-11-28_14-28-04,
52,sindssyg_compressed.wav,negative,sindssyg,skyldig,babble_71.wav,bange_reversed.wav,tortur_reversed.wav,,,,,0,68,68,68,left,0.5098369121551514,left,1,sindssyg,skyldig,5567,001,2025-11-28_14-28-04,
16,kærtegn_compressed.wav,positive,kærtegn,kedel,babble_70.wav,cirkel_reversed.wav,slagtning_reversed.wav,,,,,0,69,69,69,left,0.5588011741638184,left,1,kærtegn,kedel,5567,001,2025-11-28_14-28-04,
24,brænde_compressed.wav,negative,brænde,heldig,babble_26.wav,voldtægt_reversed.wav,ugle_reversed.wav,,,,,0,70,70,70,right,0.9159591197967529,right,1,heldig,brænde,5567,001,2025-11-28_14-28-04,
70,brutal_compressed.wav,negative,brutal,ære,babble_74.wav,ankel_reversed.wav,marked_reversed.wav,,,,,0,71,71,71,right,0.941093921661377,right,1,ære,brutal,5567,001,2025-11-28_14-28-04,
87,metal_compressed.wav,neutral,metal,albue,babble_96.wav,lampe_reversed.wav,gidsel_reversed.wav,,,,,0,72,72,72,left,0.6408910751342773,left,1,metal,albue,5567,001,2025-11-28_14-28-04,
34,papir_compressed.wav,neutral,papir,affald,babble_16.wav,violin_reversed.wav,jubel_reversed.wav,,,,,0,73,73,73,left,0.6913509368896484,left,1,papir,affald,5567,001,2025-11-28_14-28-04,
9,papir_compressed.wav,neutral,papir,hånlig,babble_4.wav,syndig_reversed.wav,skade_reversed.wav,,,,,0,74,74,74,right,0.6106410026550293,right,1,hånlig,papir,5567,001,2025-11-28_14-28-04,
27,lærer_compressed.wav,neutral,lærer,voldtægt,babble_64.wav,kiste_reversed.wav,utro_reversed.wav,,,,,0,75,75,75,right,0.6342439651489258,right,1,voldtægt,lærer,5567,001,2025-11-28_14-28-04,
25,hader_compressed.wav,negative,hader,engel,babble_67.wav,smerte_reversed.wav,tilfreds_reversed.wav,,,,,0,76,76,76,left,0.9854738712310791,left,1,hader,engel,5567,001,2025-11-28_14-28-04,
73,djævel_compressed.wav,negative,djævel,frihed,babble_2.wav,mave_reversed.wav,lampe_reversed.wav,,,,,0,77,77,77,left,1.8420209884643555,right,0,frihed,djævel,5567,001,2025-11-28_14-28-04,
43,gidsel_compressed.wav,negative,gidsel,vandal,babble_44.wav,fedme_reversed.wav,morder_reversed.wav,,,,,0,78,78,78,left,0.9772450923919678,left,1,gidsel,vandal,5567,001,2025-11-28_14-28-04,
61,grusom_compressed.wav,negative,grusom,lækker,babble_60.wav,mester_reversed.wav,redskab_reversed.wav,,,,,0,79,79,79,right,0.5512731075286865,right,1,lækker,grusom,5567,001,2025-11-28_14-28-04,
26,regnbue_compressed.wav,positive,regnbue,knude,babble_94.wav,sygdom_reversed.wav,rotte_reversed.wav,,,,,0,80,80,80,left,1.3043780326843262,left,1,regnbue,knude,5567,001,2025-11-28_14-28-04,
86,kage_compressed.wav,positive,kage,ankel,babble_9.wav,pude_reversed.wav,fjendtlig_reversed.wav,,,,,0,81,81,81,left,0.3692200183868408,left,1,kage,ankel,5567,001,2025-11-28_14-28-04,
33,ankel_compressed.wav,neutral,ankel,leder,babble_81.wav,ønske_reversed.wav,bifald_reversed.wav,,,,,0,82,82,82,right,0.3591189384460449,right,1,leder,ankel,5567,001,2025-11-28_14-28-04,
46,borddug_compressed.wav,neutral,borddug,traume,babble_29.wav,maling_reversed.wav,drukne_reversed.wav,,,,,0,83,83,83,left,0.33897900581359863,left,1,borddug,traume,5567,001,2025-11-28_14-28-04,
67,rigdom_compressed.wav,positive,rigdom,fase,babble_37.wav,salat_reversed.wav,pjece_reversed.wav,,,,,0,84,84,84,right,1.8616290092468262,left,0,rigdom,fase,5567,001,2025-11-28_14-28-04,
