signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.4,SILENCE,NA,babble_39.wav,sollys_reversed.wav,forfald_reversed.wav,,,,,0,200,200,200,,,z,1.1749592920023133,Correct Rejection,1.1095571326007525,johan_new,001,2025-11-16_23-36-49,
present,0.1,grusom_compressed.wav,grusom,babble_2.wav,skønhed_reversed.wav,bange_reversed.wav,,,,,0,201,201,201,,,m,0.26009850000264123,Hit,1.0068942651628272,johan_new,001,2025-11-16_23-36-49,
present,0.6,putte_compressed.wav,putte,babble_31.wav,stjerne_reversed.wav,sæde_reversed.wav,,,,,0,202,202,202,,,z,1.4100830419993144,Miss,0.5956283056317078,johan_new,001,2025-11-16_23-36-49,
present,0.2,morder_compressed.wav,morder,babble_13.wav,kujon_reversed.wav,kujon_reversed.wav,,,,,0,203,203,203,,,m,0.5125369999950635,Hit,0.5043327106289416,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_17.wav,himlen_reversed.wav,avis_reversed.wav,,,,,0,204,204,204,,,z,0.9487907080037985,Correct Rejection,1.364741931900996,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_40.wav,røver_reversed.wav,albue_reversed.wav,,,,,0,205,205,205,,,z,0.6290581670036772,Correct Rejection,1.0126941669728926,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_39.wav,fremskridt_reversed.wav,forfald_reversed.wav,,,,,0,206,206,206,,,z,0.7452487499976996,Correct Rejection,0.7356905537409009,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_24.wav,taber_reversed.wav,metal_reversed.wav,,,,,0,207,207,207,,,z,0.4285899589958717,Correct Rejection,1.4612718647442953,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_38.wav,brænde_reversed.wav,kæle_reversed.wav,,,,,0,208,208,208,,,z,0.6545369590021437,Correct Rejection,1.2717582313412734,johan_new,001,2025-11-16_23-36-49,
present,0.7,humor_compressed.wav,humor,babble_40.wav,traume_reversed.wav,fjendtlig_reversed.wav,,,,,0,209,209,209,,,m,1.3124982500012266,Hit,0.5087088223906048,johan_new,001,2025-11-16_23-36-49,
