trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
18,salat_compressed.wav,neutral,salat,bombe,babble_49.wav,stjerne_reversed.wav,oprørt_reversed.wav,,,,,0,43,43,43,left,0.9966108798980712,left,1,salat,bombe,50701,1,2025-11-28_11-41-58
58,stjerne_compressed.wav,positive,stjerne,grusom,babble_63.wav,gaffel_reversed.wav,kontor_reversed.wav,,,,,0,44,44,44,right,1.267496109008789,right,1,grusom,stjerne,50701,1,2025-11-28_11-41-58
40,bombe_compressed.wav,negative,bombe,brutal,babble_34.wav,patent_reversed.wav,kedel_reversed.wav,,,,,0,45,45,45,left,1.234785079956055,left,1,bombe,brutal,50701,1,2025-11-28_11-41-58
24,gave_compressed.wav,positive,gave,hjerte,babble_50.wav,vindue_reversed.wav,gratis_reversed.wav,,,,,0,46,46,46,left,1.0889968872070312,left,1,gave,hjerte,50701,1,2025-11-28_11-41-58
23,pjece_compressed.wav,neutral,pjece,skønhed,babble_89.wav,djævel_reversed.wav,beskidt_reversed.wav,,,,,0,47,47,47,left,1.0397670269012451,left,1,pjece,skønhed,50701,1,2025-11-28_11-41-58
88,sandhed_compressed.wav,positive,sandhed,afskyr,babble_43.wav,voldtægt_reversed.wav,kugle_reversed.wav,,,,,0,48,48,48,left,1.803852081298828,left,1,sandhed,afskyr,50701,1,2025-11-28_11-41-58
86,marked_compressed.wav,neutral,marked,kontor,babble_88.wav,metal_reversed.wav,himlen_reversed.wav,,,,,0,49,49,49,left,0.7934131622314453,left,1,marked,kontor,50701,1,2025-11-28_11-41-58
80,slagtning_compressed.wav,negative,slagtning,rigdom,babble_53.wav,stjerne_reversed.wav,skammel_reversed.wav,,,,,0,50,50,50,right,1.2457070350646973,right,1,rigdom,slagtning,50701,1,2025-11-28_11-41-58
87,intim_compressed.wav,positive,intim,ledning,babble_32.wav,nedbrud_reversed.wav,offer_reversed.wav,,,,,0,51,51,51,left,0.76969313621521,left,1,intim,ledning,50701,1,2025-11-28_11-41-58
47,forår_compressed.wav,positive,forår,feber,babble_5.wav,viden_reversed.wav,lampe_reversed.wav,,,,,0,52,52,52,right,1.0578200817108154,right,1,feber,forår,50701,1,2025-11-28_11-41-58
35,motor_compressed.wav,neutral,motor,fængsel,babble_45.wav,motor_reversed.wav,patent_reversed.wav,,,,,0,53,53,53,right,1.0020570755004885,right,1,fængsel,motor,50701,1,2025-11-28_11-41-58
79,opstemt_compressed.wav,positive,opstemt,forfald,babble_99.wav,taber_reversed.wav,rådden_reversed.wav,,,,,0,54,54,54,right,1.2182228565216064,right,1,forfald,opstemt,50701,1,2025-11-28_11-41-58
4,metal_compressed.wav,neutral,metal,gratis,babble_44.wav,blomstre_reversed.wav,taber_reversed.wav,,,,,0,55,55,55,left,1.6717991828918457,right,0,gratis,metal,50701,1,2025-11-28_11-41-58
30,finger_compressed.wav,neutral,finger,fjendtlig,babble_72.wav,sandhed_reversed.wav,gave_reversed.wav,,,,,0,56,56,56,left,1.235534906387329,left,1,finger,fjendtlig,50701,1,2025-11-28_11-41-58
66,finger_compressed.wav,neutral,finger,konge,babble_28.wav,oprør_reversed.wav,fjendtlig_reversed.wav,,,,,0,57,57,57,right,1.3375399112701416,right,1,konge,finger,50701,1,2025-11-28_11-41-58
42,talent_compressed.wav,positive,talent,musik,babble_56.wav,grimme_reversed.wav,himmel_reversed.wav,,,,,0,58,58,58,left,0.7457869052886963,left,1,talent,musik,50701,1,2025-11-28_11-41-58
26,rotte_compressed.wav,negative,rotte,redning,babble_94.wav,skammel_reversed.wav,dollar_reversed.wav,,,,,0,59,59,59,right,2.292348146438598,right,1,redning,rotte,50701,1,2025-11-28_11-41-58
61,røver_compressed.wav,negative,røver,fjendtlig,babble_88.wav,genert_reversed.wav,grimme_reversed.wav,,,,,0,60,60,60,left,0.780580997467041,left,1,røver,fjendtlig,50701,1,2025-11-28_11-41-58
71,bygning_compressed.wav,neutral,bygning,affald,babble_62.wav,hånlig_reversed.wav,bifald_reversed.wav,,,,,0,61,61,61,right,0.5014328956604004,right,1,affald,bygning,50701,1,2025-11-28_11-41-58
76,vandal_compressed.wav,negative,vandal,morder,babble_79.wav,respekt_reversed.wav,talent_reversed.wav,,,,,0,62,62,62,left,1.024501085281372,left,1,vandal,morder,50701,1,2025-11-28_11-41-58
74,ensom_compressed.wav,negative,ensom,slagtning,babble_44.wav,vindue_reversed.wav,tortur_reversed.wav,,,,,0,63,63,63,left,0.539309024810791,left,1,ensom,slagtning,50701,1,2025-11-28_11-41-58
63,ære_compressed.wav,positive,ære,morder,babble_89.wav,banner_reversed.wav,væmmes_reversed.wav,,,,,0,64,64,64,right,1.7764759063720703,left,0,ære,morder,50701,1,2025-11-28_11-41-58
50,ankel_compressed.wav,neutral,ankel,ugle,babble_51.wav,selvmord_reversed.wav,vandal_reversed.wav,,,,,0,65,65,65,left,0.7814180850982666,left,1,ankel,ugle,50701,1,2025-11-28_11-41-58
33,diamant_compressed.wav,positive,diamant,lærer,babble_61.wav,trussel_reversed.wav,mave_reversed.wav,,,,,0,66,66,66,right,1.0675489902496338,right,1,lærer,diamant,50701,1,2025-11-28_11-41-58
15,ærlig_compressed.wav,positive,ærlig,flirte,babble_32.wav,boble_reversed.wav,lækker_reversed.wav,,,,,0,67,67,67,left,1.0562210083007812,left,1,ærlig,flirte,50701,1,2025-11-28_11-41-58
57,respekt_compressed.wav,positive,respekt,frelser,babble_81.wav,konge_reversed.wav,magisk_reversed.wav,,,,,0,68,68,68,right,0.606921911239624,right,1,frelser,respekt,50701,1,2025-11-28_11-41-58
53,stjerne_compressed.wav,positive,stjerne,slagtning,babble_7.wav,hånlig_reversed.wav,grimme_reversed.wav,,,,,0,69,69,69,left,0.5203101634979248,left,1,stjerne,slagtning,50701,1,2025-11-28_11-41-58
25,beskidt_compressed.wav,negative,beskidt,hjerte,babble_13.wav,glæde_reversed.wav,ankel_reversed.wav,,,,,0,70,70,70,left,0.8826308250427246,left,1,beskidt,hjerte,50701,1,2025-11-28_11-41-58
43,heldig_compressed.wav,positive,heldig,festlig,babble_86.wav,genert_reversed.wav,maling_reversed.wav,,,,,0,71,71,71,left,0.6340019702911377,left,1,heldig,festlig,50701,1,2025-11-28_11-41-58
16,bygning_compressed.wav,neutral,bygning,marked,babble_44.wav,museum_reversed.wav,finger_reversed.wav,,,,,0,72,72,72,left,0.4624102115631103,left,1,bygning,marked,50701,1,2025-11-28_11-41-58
59,motor_compressed.wav,neutral,motor,finger,babble_16.wav,himlen_reversed.wav,bombe_reversed.wav,,,,,0,73,73,73,left,0.4939260482788086,left,1,motor,finger,50701,1,2025-11-28_11-41-58
77,pervers_compressed.wav,negative,pervers,syndig,babble_43.wav,giftig_reversed.wav,skønhed_reversed.wav,,,,,0,74,74,74,left,0.7629649639129639,left,1,pervers,syndig,50701,1,2025-11-28_11-41-58
21,venlig_compressed.wav,positive,venlig,konkurs,babble_26.wav,taber_reversed.wav,illoyal_reversed.wav,,,,,0,75,75,75,right,2.7821898460388184,right,1,konkurs,venlig,50701,1,2025-11-28_11-41-58
