trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
138,AM23ANS.JPG,tilfreds_compressed.wav,positive,babble_9.wav,redning_reversed.wav,grimme_reversed.wav,,,,,0,131,131,131,5,1.0791079998016357,1234,001,2025-11-28_15-21-14,
29,AF10HAS.JPG,fjollet_compressed.wav,positive,babble_20.wav,bifald_reversed.wav,blomstre_reversed.wav,,,,,0,132,132,132,6,0.6322479248046875,1234,001,2025-11-28_15-21-14,
189,AF06HAS.JPG,forår_compressed.wav,positive,babble_44.wav,gave_reversed.wav,ørken_reversed.wav,,,,,0,133,133,133,7,0.6965069770812988,1234,001,2025-11-28_15-21-14,
111,AF02HAS.JPG,blodig_compressed.wav,negative,babble_60.wav,væmmes_reversed.wav,diamant_reversed.wav,,,,,0,134,134,134,7,0.4864649772644043,1234,001,2025-11-28_15-21-14,
159,AF09ANS.JPG,fjollet_compressed.wav,positive,babble_29.wav,salat_reversed.wav,banner_reversed.wav,,,,,0,135,135,135,3,1.1516530513763428,1234,001,2025-11-28_15-21-14,
55,AF11ANS.JPG,glæde_compressed.wav,positive,babble_68.wav,gade_reversed.wav,redning_reversed.wav,,,,,0,136,136,136,5,0.5953412055969238,1234,001,2025-11-28_15-21-14,
197,AM30ANS.JPG,flirte_compressed.wav,positive,babble_66.wav,røver_reversed.wav,salat_reversed.wav,,,,,0,137,137,137,4,2.114013910293579,1234,001,2025-11-28_15-21-14,
54,AF14ANS.JPG,enhed_compressed.wav,neutral,babble_56.wav,dollar_reversed.wav,lækker_reversed.wav,,,,,0,138,138,138,2,1.163942813873291,1234,001,2025-11-28_15-21-14,
123,AM13ANS.JPG,ønske_compressed.wav,positive,babble_3.wav,statue_reversed.wav,nonne_reversed.wav,,,,,0,139,139,139,2,1.0067729949951172,1234,001,2025-11-28_15-21-14,
132,AF28NES.JPG,museum_compressed.wav,neutral,babble_1.wav,succes_reversed.wav,rædsel_reversed.wav,,,,,0,140,140,140,5,0.6980428695678711,1234,001,2025-11-28_15-21-14,
