signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.6,stjerne_compressed.wav,stjerne,babble_69.wav,latter_reversed.wav,knude_reversed.wav,,,,,0,143,143,143,,,z,0.9756292090169154,Miss,1.3689341305396157,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_56.wav,passion_reversed.wav,offer_reversed.wav,,,,,0,144,144,144,,,z,1.4137387079827022,Correct Rejection,1.3204649017712766,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_62.wav,giftig_reversed.wav,morder_reversed.wav,,,,,0,145,145,145,,,z,0.6175928750017192,Correct Rejection,0.982870301719112,99999,001,2025-11-20_13-11-42,
present,0.1,frelser_compressed.wav,frelser,babble_37.wav,pude_reversed.wav,væmmes_reversed.wav,,,,,0,146,146,146,,,m,0.33270512497983873,Hit,1.333701314574804,99999,001,2025-11-20_13-11-42,
present,0.5,oprør_compressed.wav,oprør,babble_70.wav,forpint_reversed.wav,pervers_reversed.wav,,,,,0,147,147,147,,,z,0.44031241702032275,Miss,1.2815793054926783,99999,001,2025-11-20_13-11-42,
absent,0.2,SILENCE,NA,babble_29.wav,grusom_reversed.wav,knude_reversed.wav,,,,,0,148,148,148,,,z,0.9926355839997996,Correct Rejection,0.8429842657513567,99999,001,2025-11-20_13-11-42,
absent,0.2,SILENCE,NA,babble_96.wav,fedme_reversed.wav,avis_reversed.wav,,,,,0,149,149,149,,,z,0.546751249989029,Correct Rejection,1.350839346823511,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_94.wav,redskab_reversed.wav,utro_reversed.wav,,,,,0,150,150,150,,,z,0.7445860409934539,Correct Rejection,1.3736759350381025,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_60.wav,poesi_reversed.wav,djævel_reversed.wav,,,,,0,151,151,151,,,z,0.5773573339974973,Correct Rejection,1.2795554202141135,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_72.wav,blomstre_reversed.wav,papir_reversed.wav,,,,,0,152,152,152,,,z,0.6039077079913113,Correct Rejection,1.1594375864911397,99999,001,2025-11-20_13-11-42,
present,0.2,mester_compressed.wav,mester,babble_82.wav,ønske_reversed.wav,succes_reversed.wav,,,,,0,153,153,153,,,z,0.6162940000067465,Miss,0.7631369690147486,99999,001,2025-11-20_13-11-42,
present,0.2,heldig_compressed.wav,heldig,babble_56.wav,hjerte_reversed.wav,leder_reversed.wav,,,,,0,154,154,154,,,m,0.26395354099804536,Hit,1.0734888548876191,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_36.wav,gratis_reversed.wav,metal_reversed.wav,,,,,0,155,155,155,,,z,0.3666502920095809,Correct Rejection,0.7575105451066734,99999,001,2025-11-20_13-11-42,
present,0.7,plakat_compressed.wav,plakat,babble_81.wav,maling_reversed.wav,tumor_reversed.wav,,,,,0,156,156,156,,,m,0.30113291600719094,Hit,0.6663535015617744,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_27.wav,lampe_reversed.wav,spise_reversed.wav,,,,,0,157,157,157,,,z,0.40867145801894367,Correct Rejection,1.4865695191319908,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_54.wav,voldtægt_reversed.wav,patent_reversed.wav,,,,,0,158,158,158,,,z,0.4676255829981528,Correct Rejection,0.8227916134896605,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_11.wav,konge_reversed.wav,dollar_reversed.wav,,,,,0,159,159,159,,,z,0.4449534999730531,Correct Rejection,0.7433585017629039,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_82.wav,metal_reversed.wav,pude_reversed.wav,,,,,0,160,160,160,,,z,1.1690500830009114,Correct Rejection,0.6150230133814897,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_81.wav,illoyal_reversed.wav,tilfreds_reversed.wav,,,,,0,161,161,161,,,z,0.3619757909909822,Correct Rejection,0.8703818953424963,99999,001,2025-11-20_13-11-42,
absent,0.2,SILENCE,NA,babble_1.wav,blomstre_reversed.wav,kontor_reversed.wav,,,,,0,162,162,162,,,z,0.5529027500015218,Correct Rejection,1.1590160825377498,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_32.wav,måned_reversed.wav,museum_reversed.wav,,,,,0,163,163,163,,,z,0.5724444999941625,Correct Rejection,1.365891744365375,99999,001,2025-11-20_13-11-42,
